,"Optimal (HJB-QVI), N=100","Pure Delta Hedge, N=100","Pure Passive MM, N=100"
E[Terminal Wealth],288.13512265405336,-70.17195575423318,348.7957918204062
E[Terminal Wealth]/option,2.8813512265405334,-0.7017195575423318,3.487957918204062
Std[Terminal Wealth]/option,0.4252655453716172,0.2529295732956702,1.304430192509593
Sharpe Ratio,6.7754165788876035,-2.7743673798161756,2.673932218245869
E[Cum Tracking Error]/N^2,0.016037796386978304,0.0020313660929419464,0.4102422830499326
Reward/Tracking Ratio,2.8358701189922204,-0.7002969979656753,2.47330402734816
Mean Final Inventory/option,0.4506666666666667,0.4705,-0.004333333333333333
Mean Market Orders,23.405,78.90166666666667,0.0
Mean Limit Fills,89.305,0.0,106.08333333333333
Mean Max Drawdown/option,0.1757755281638512,0.7060419149114432,0.7958851472637315
Mean Maker Rebate/option,0.022326249999999975,0.0,0.026520833333333296
Mean Taker Cost/option,0.09362000000000002,0.39781333333333285,0.0
Mean Impact Cost/option,0.05233517101338259,0.2969320052116583,0.0
